Código ;Ação;Tipo;Qtde. Teórica;Part. (%)
ABEV3;AMBEV S/A;ON ED;4.320.157.092;6,7
B3SA3;B3;ON NM;2.035.474.854;3,472
BBAS3;BRASIL;ON NM;1.226.268.476;2,733
BBDC3;BRADESCO;ON N1;629.085.664;1,268
BBDC4;BRADESCO;PN N1;3.229.206.347;7,209
BBSE3;BBSEGURIDADE;ON NM;671.580.824;1,395
BRAP4;BRADESPAR;PN N1;222.247.346;0,533
BRFS3;BRF SA;ON NM;769.730.779;1,278
BRKM5;BRASKEM;PNA N1;264.593.366;1,147
BRML3;BR MALLS PAR;ON NM;839.417.905;0,655
BTOW3;B2W DIGITAL;ON NM;166.376.097;0,37
CCRO3;CCR SA;ON NM;1.115.695.556;0,938
CIEL3;CIELO;ON NM;1.118.582.207;1,464
CMIG4;CEMIG;PN N1;837.331.255;0,471
CPFE3;CPFL ENERGIA;ON NM;53.392.655;0,1
CPLE6;COPEL;PNB ED N1;101.013.662;0,187
CSAN3;COSAN;ON NM;153.658.655;0,464
CSNA3;SID NACIONAL;ON;607.240.926;0,4
CVCB3;CVC BRASIL;ON NM;145.958.232;0,54
CYRE3;CYRELA REALT;ON NM;244.896.043;0,219
ECOR3;ECORODOVIAS;ON NM;186.126.859;0,113
EGIE3;ENGIE BRASIL;ON NM;203.865.231;0,589
ELET3;ELETROBRAS;ON N1;269.685.840;0,296
ELET6;ELETROBRAS;PNB N1;225.964.766;0,294
EMBR3;EMBRAER;ON NM;733.585.488;1,522
ENBR3;ENERGIAS BR;ON NM;295.233.783;0,354
EQTL3;EQUATORIAL;ON NM;198.128.714;0,964
ESTC3;ESTACIO PART;ON NM;308.360.074;0,634
FIBR3;FIBRIA;ON NM;229.520.397;1,398
FLRY3;FLEURY;ON NM;306.995.482;0,636
GGBR4;GERDAU;PN N1;987.996.350;1,204
GOAU4;GERDAU MET;PN N1;576.097.093;0,314
GOLL4;GOL;PN N2;131.327.572;0,124
HYPE3;HYPERA;ON NM;397.066.972;0,943
IGTA3;IGUATEMI;ON NM;86.601.949;0,22
ITSA4;ITAUSA;PN N1;4.482.937.434;3,438
ITUB4;ITAUUNIBANCO;PN N1;3.047.321.150;10,239
JBSS3;JBS;ON NM;1.560.125.039;1,243
KLBN11;KLABIN S/A;UNT N2;591.009.862;0,978
KROT3;KROTON;ON NM;1.475.183.313;1,216
LAME4;LOJAS AMERIC;PN N1;682.067.233;0,927
LREN3;LOJAS RENNER;ON EJ NM;703.337.444;1,701
MGLU3;MAGAZ LUIZA;ON NM;67.737.548;0,71
MRFG3;MARFRIG;ON NM;402.733.978;0,274
MRVE3;MRV;ON NM;287.502.358;0,296
MULT3;MULTIPLAN;ON N2;89.660.749;0,412
NATU3;NATURA;ON NM;172.217.705;0,446
PCAR4;P.ACUCAR-CBD;PN N1;155.346.538;1,035
PETR3;PETROBRAS;ON N2;2.305.826.269;3,497
PETR4;PETROBRAS;PN N2;4.128.739.403;5,328
QUAL3;QUALICORP;ON NM;282.546.681;0,422
RADL3;RAIADROGASIL;ON NM;211.894.226;1,228
RAIL3;RUMO S.A.;ON NM;1.115.172.711;1,246
RENT3;LOCALIZA;ON NM;502.016.791;0,978
SANB11;SANTANDER BR;UNT;373.269.828;0,961
SAPR11;SANEPAR;UNT N2;66.997.178;0,282
SBSP3;SABESP;ON NM;339.981.302;0,662
SMLS3;SMILES;ON NM;58.540.428;0,243
SUZB3;SUZANO PAPEL;ON NM;467.427.022;1,752
TAEE11;TAESA;UNT N2;184.568.250;0,294
TIMP3;TIM PART S/A;ON NM;808.311.315;0,889
UGPA3;ULTRAPAR;ON NM;540.419.605;2,12
USIM5;USIMINAS;PNA N1;510.965.930;0,312
VALE3;VALE;ON NM;3.148.784.933;12,911
VIVT4;TELEF BRASIL;PN;415.110.664;1,613
VVAR11;VIAVAREJO;UNT N2;136.807.498;0,222
WEGE3;WEG;ON NM;740.453.283;0,977
Quantidade Teórica Total;;;53.943.478.179;100
Redutor;;;16.575.680,25;
